batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
1,6,1.6681005372000556e-11,4,100,0,0.4995804767499088,0.49954513270921
1,6,1.2915496650148827e-11,4,100,0,0.4996674684790694,0.4996398358905173
1,6,2.1544346900318868e-11,4,100,0,0.49947431151262434,0.4994292285732193
1,6,2.7825594022071258e-11,4,100,0,0.4993470288430544,0.4992897227579327
1,6,1e-11,4,100,0,0.49973780784567257,0.4997162510168843
1,6,3.5938136638046254e-11,4,100,0,0.4991980900633151,0.49912555807585923
1,6,4.641588833612773e-11,4,100,0,0.4990297558815668,0.49893842112010417
1,6,7.742636826811278e-11,4,100,0,0.4986746880190995,0.4985324110838721
1,6,1e-10,4,100,0,0.49854170863834024,0.498365721559927
1,6,5.994842503189421e-11,4,100,0,0.4988495163640849,0.498735171294559
1,6,2.1544346900318866e-09,4,100,0,0.8848360088272345,0.8883653809227026
1,6,1.2915496650148826e-09,4,100,0,0.6352764163840539,0.6357141618075607
1,6,5.994842503189421e-09,4,100,0,3.1291979710656315,3.165104467777332
1,6,2.782559402207126e-10,4,100,0,0.5013022751182705,0.5009207257828309
1,6,1e-08,4,100,0,6.825362035569136,6.912600422780678
1,6,4.6415888336127727e-10,4,100,0,0.5114091892727702,0.5109254415346478
1,6,3.5938136638046257e-09,4,100,0,1.5324588596160313,1.5451230952861466
1,6,7.742636826811277e-10,4,100,0,0.5434054064175051,0.5430115891829805
1,6,1.6681005372000558e-10,4,100,0,0.49876808244059606,0.49850338910159964
1,6,1.2915496650148827e-10,4,100,0,0.4985246093079704,0.49830811890817117
1,6,1e-09,4,100,0,0.5778047137172976,0.5776726534856438
1,6,3.593813663804626e-10,4,100,0,0.5048332537749555,0.5043925175962682
1,6,5.994842503189421e-10,4,100,0,0.5231253620031122,0.5226414622914806
1,6,2.1544346900318867e-10,4,100,0,0.49953917920676577,0.4992186335705841
1,7,1.2915496650148827e-10,4,100,0,3.1429899103907806,3.1786839276670893
1,7,1e-10,4,100,0,2.1235971187848994,2.1441597873334723
1,7,1.6681005372000558e-10,4,100,0,4.757092999295248,4.817391467069501
1,7,7.742636826811277e-10,4,100,0,54.56610020752666,55.437955264855795
1,7,5.994842503189421e-10,4,100,0,37.359742815500226,37.948411741667904
1,7,1e-09,4,100,0,79.82111774018092,81.1072394691282
1,7,2.1544346900318867e-10,4,100,0,7.273729745333477,7.373233012266962
1,7,2.782559402207126e-10,4,100,0,11.125585097985676,11.286191652713693
1,7,3.593813663804626e-10,4,100,0,16.890272105877393,17.143724926187453
1,7,4.6415888336127727e-10,4,100,0,25.30857341261073,25.699258576773058
1,5,1e-10,4,100,0,0.4998996831475313,0.4998936993527987
1,5,5.994842503189421e-10,4,100,0,0.49943416376373456,0.49939932856557273
1,5,4.6415888336127727e-10,4,100,0,0.4995546082343914,0.4995274222048687
1,5,7.742636826811277e-10,4,100,0,0.49928458638746964,0.49924005043375275
1,5,2.1544346900318867e-10,4,100,0,0.49978689896067985,0.49977409458464295
1,5,2.782559402207126e-10,4,100,0,0.4997268712922051,0.4997103948042389
1,5,1.2915496650148827e-10,4,100,0,0.499870896301542,0.4998631811895254
1,5,1e-09,4,100,0,0.49910105136533384,0.4990442754315264
1,5,1.6681005372000558e-10,4,100,0,0.49983402107451735,0.49982407869064355
1,5,3.593813663804626e-10,4,100,0,0.4996507149117244,0.49962953593972365
