degree,k_fold,lambda,seed,avg_n_err_te,avg_n_err_tr
8,4,1e-10,0,12683.25,37971.25
8,4,1e-10,0,12683.25,37971.25
8,4,1e-09,0,12683.25,37971.25
8,4,1e-08,0,12683.25,37971.25
8,4,1e-07,0,12683.0,37970.25
8,4,1e-06,0,12681.75,37971.5
8,4,1e-05,0,12685.5,37971.0
8,4,0.0001,0,12680.25,37963.5
8,4,0.001,0,12702.5,38059.25
9,4,1e-10,0,12646.75,37861.75
9,4,1e-09,0,12646.75,37862.0
9,4,1e-08,0,12646.5,37862.75
9,4,1e-07,0,12649.0,37865.5
9,4,1e-06,0,12652.5,37865.75
9,4,1e-05,0,12652.5,37870.0
9,4,0.0001,0,12659.75,37895.5
9,4,0.001,0,12701.0,38012.5
10,4,1e-10,0,12627.5,37778.75
10,4,1e-09,0,12627.75,37779.0
10,4,1e-08,0,12627.75,37779.0
10,4,1e-07,0,12627.25,37779.5
10,4,1e-06,0,12633.25,37784.75
10,4,1e-05,0,12638.25,37794.0
10,4,0.0001,0,12627.25,37817.5
10,4,0.001,0,12675.75,37915.25
11,4,1e-10,0,12625.25,37738.25
11,4,1e-09,0,12625.25,37737.0
11,4,1e-08,0,12627.75,37736.75
11,4,1e-07,0,12626.5,37741.0
11,4,1e-06,0,12632.0,37739.5
11,4,1e-05,0,12629.5,37728.25
11,4,0.0001,0,12615.5,37735.25
11,4,0.001,0,12663.5,37909.75
12,4,1e-10,0,12622.25,37711.25
12,4,1e-09,0,12622.25,37704.25
12,4,1e-08,0,12621.0,37700.25
12,4,1e-07,0,12615.75,37707.5
12,4,1e-06,0,12619.25,37707.75
12,4,1e-05,0,12619.5,37707.25
12,4,0.0001,0,12609.25,37696.5
12,4,0.001,0,12649.25,37833.5
13,4,1e-10,0,12594.25,37623.75
13,4,1e-09,0,12594.0,37648.75
13,4,1e-08,0,12689.0,37892.25
13,4,1e-07,0,12655.75,37790.25
13,4,1e-06,0,12584.75,37625.25
13,4,1e-05,0,12583.75,37611.75
13,4,0.0001,0,12587.5,37625.25
13,4,0.001,0,12641.5,37791.5
14,4,1e-10,0,12609.25,37658.0
14,4,1e-09,0,12687.0,37972.5
14,4,1e-08,0,13606.0,40622.25
14,4,1e-07,0,12736.5,38117.5
14,4,1e-06,0,12643.75,37840.25
14,4,1e-05,0,12878.25,38468.0
14,4,0.0001,0,12615.75,37676.75
14,4,0.001,0,12642.5,37798.5
15,4,1e-10,0,12606.5,37725.25
15,4,1e-09,0,15105.25,45172.5
15,4,1e-08,0,12757.25,38219.25
15,4,1e-07,0,12640.25,37727.5
15,4,1e-06,0,12613.25,37688.75
15,4,1e-05,0,12584.75,37643.75
15,4,0.0001,0,12807.75,38229.5
15,4,0.001,0,12633.0,37790.5
